seed,extra_distractors,method,precision_at_2,recall_at_2
869,2,semantic_only,0.5,1.0
869,2,ontology_guided,1.0,1.0
879,2,semantic_only,0.5,1.0
879,2,ontology_guided,0.5,1.0
882,2,semantic_only,0.5,1.0
882,2,ontology_guided,0.5,1.0
891,2,semantic_only,0.5,1.0
891,2,ontology_guided,0.5,1.0
898,2,semantic_only,0.5,1.0
898,2,ontology_guided,0.5,1.0
901,2,semantic_only,0.5,1.0
901,2,ontology_guided,1.0,1.0
909,2,semantic_only,1.0,1.0
909,2,ontology_guided,1.0,1.0
915,2,semantic_only,0.5,1.0
915,2,ontology_guided,1.0,1.0
919,2,semantic_only,0.5,1.0
919,2,ontology_guided,0.5,1.0
922,2,semantic_only,1.0,1.0
922,2,ontology_guided,1.0,1.0
925,2,semantic_only,0.5,1.0
925,2,ontology_guided,0.5,1.0
928,2,semantic_only,1.0,0.6666666666666666
928,2,ontology_guided,1.0,0.6666666666666666
970,2,semantic_only,0.0,0.0
970,2,ontology_guided,1.0,1.0
985,2,semantic_only,0.0,0.0
985,2,ontology_guided,0.5,1.0
8,4,semantic_only,1.0,1.0
8,4,ontology_guided,1.0,1.0
9,4,semantic_only,0.0,0.0
9,4,ontology_guided,0.5,1.0
13,4,semantic_only,1.0,0.6666666666666666
13,4,ontology_guided,1.0,0.6666666666666666
